title,cast,genres,plot,release_date,status
Iron Man,"['Robert Downey Jr.', 'Gwyneth Paltrow', 'Terrence Howard', 'Jeff Bridges']","['Action', 'Adventure', 'Sci-Fi']","after being held captive in an afghan cave, billionaire engineer tony stark creates a unique weaponized suit of armor to fight evil.",2008-02-05,released
Iron Man 2,"['Robert Downey Jr.', 'Mickey Rourke', 'Gwyneth Paltrow', 'Don Cheadle']","['Action', 'Adventure', 'Sci-Fi']","with the world now aware of his identity as iron man, tony stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy.",2010-07-05,released
Thor,"['Chris Hemsworth', 'Anthony Hopkins', 'Natalie Portman', 'Tom Hiddleston']","['Action', 'Adventure', 'Fantasy', 'Sci-Fi']","the powerful but arrogant god thor (chris hemsworth) is cast out of asgard to live amongst humans in midgard (earth), where he soon becomes one of their finest defenders.",2011-06-05,released
The Avengers,"['Robert Downey Jr.', 'Chris Evans', 'Scarlett Johansson', 'Jeremy Renner']","['Action', 'Adventure', 'Sci-Fi']",earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous loki and his alien army from enslaving humanity.,2012-04-05,released
Iron Man 3,"['Robert Downey Jr.', 'Guy Pearce', 'Gwyneth Paltrow', 'Don Cheadle']","['Action', 'Adventure', 'Sci-Fi']","when tony stark's world is torn apart by a formidable terrorist called the mandarin, he starts an odyssey of rebuilding and retribution.",2013-03-05,released
Thor: The Dark World,"['Chris Hemsworth', 'Natalie Portman', 'Tom Hiddleston', 'Stellan Skarsgrd']","['Action', 'Adventure', 'Fantasy']","when dr. jane foster (natalie portman) gets cursed with a powerful entity known as the aether, thor is heralded of the cosmic event known as the convergence and the genocidal dark elves.",2013-08-11,released
Guardians Of The Galaxy,"['Chris Pratt', 'Vin Diesel', 'Bradley Cooper', 'Zoe Saldana']","['Action', 'Adventure', 'Comedy', 'Sci-Fi']",a group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,2014-01-08,released
Captain America: The Winter Soldier,"['Chris Evans', 'Samuel L. Jackson', 'Scarlett Johansson', 'Robert Redford']","['Action', 'Adventure', 'Sci-Fi', 'Thriller']","as steve rogers struggles to embrace his role in the modern world, he teams up with a fellow avenger and s.h.i.e.l.d agent, black widow, to battle a new threat from history: an assassin known as the winter soldier.",2014-04-04,released
Avengers: Age Of Ultron,"['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo', 'Chris Hemsworth']","['Action', 'Adventure', 'Sci-Fi']","when tony stark and bruce banner try to jump-start a dormant peacekeeping program called ultron, things go horribly wrong and it's up to earth's mightiest heroes to stop the villainous ultron from enacting his terrible plan.",2015-01-05,released
Doctor Strange,"['Benedict Cumberbatch', 'Chiwetel Ejiofor', 'Rachel McAdams', 'Benedict Wong']","['Action', 'Adventure', 'Fantasy', 'Sci-Fi']","while on a journey of physical and spiritual healing, a brilliant neurosurgeon is drawn into the world of the mystic arts.",2016-04-11,released
Captain America: Civil War,"['Chris Evans', 'Robert Downey Jr.', 'Scarlett Johansson', 'Sebastian Stan']","['Action', 'Adventure', 'Sci-Fi']",political involvement in the avengers' affairs causes a rift between captain america and iron man.,2016-06-05,released
Thor: Ragnarok,"['Chris Hemsworth', 'Tom Hiddleston', 'Cate Blanchett', 'Mark Ruffalo']","['Action', 'Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']","thor (chris hemsworth) is imprisoned on the planet sakaar, and must race against time to return to asgard and stop ragnarã¶k, the destruction of his world, at the hands of the powerful and ruthless villain hela (cate blanchett).",2017-03-11,released
Guardians Of The Galaxy Vol. 2,"['Chris Pratt', 'Zoe Saldana', 'Dave Bautista', 'Vin Diesel']","['Action', 'Adventure', 'Comedy', 'Sci-Fi']","the guardians struggle to keep together as a team while dealing with their personal family issues, notably star-lord's encounter with his father the ambitious celestial being ego.",2017-05-05,released
Spider-Man: Homecoming,"['Tom Holland', 'Michael Keaton', 'Robert Downey Jr.', 'Marisa Tomei']","['Action', 'Adventure', 'Sci-Fi']","peter parker balances his life as an ordinary high school student in queens with his superhero alter-ego spider-man, and finds himself on the trail of a new menace prowling the skies of new york city.",2017-07-07,released
Ant-Man And The Wasp,"['Paul Rudd', 'Evangeline Lilly', 'Michael Pea', 'Walton Goggins']","['Action', 'Adventure', 'Comedy', 'Sci-Fi']","as scott lang balances being both a super hero and a father, hope van dyne and dr. hank pym present an urgent new mission that finds the ant-man fighting alongside the wasp to uncover secrets from their past.",2018-06-07,released
Spider-Man: Far From Home,"['Tom Holland', 'Samuel L. Jackson', 'Jake Gyllenhaal']","['Action', 'Adventure', 'Sci-Fi']","following the events of avengers: endgame, spider-man must step up to take on new threats in a world that has changed forever.",2019-02-07,released
Captain Marvel,"['Brie Larson', 'Samuel L. Jackson', 'Ben Mendelsohn', 'Jude Law']","['Action', 'Adventure', 'Sci-Fi']",carol danvers becomes one of the universe's most powerful heroes when earth is caught in the middle of a galactic war between two alien races.,2019-08-03,released
Eternals,"['Gemma Chan', 'Angelina Jolie', 'Salma Hayek']","['Action', 'Adventure', 'Drama', 'Fantasy', 'Sci-Fi']","following the events of avengers: endgame (2019), an unexpected tragedy forces the eternals, ancient aliens who have been living on earth in secret for thousands of years, out of the shadows to reunite against mankind's most ancient enemy, the deviants.",2021-05-11,released
Black Widow,"['Scarlett Johansson', 'Florence Pugh', 'David Harbour', 'O-T Fagbenle', 'William Hurt', 'Ray Winstone', 'Rachel Weisz']","['Action', 'Adventure', 'Sci-Fi']","at birth the black widow ""aka natasha romanova"" is given to the kgb, which grooms her to become its ultimate operative. when the u.s.s.r. breaks up, the government tries to kill her as the action moves to present-day new york, where she is a freelance operative",2021-07-05,released
Shang-Chi And The Legend Of The Ten Rings,"['Michelle Yeoh', 'Awkwafina', 'Simu Liu']","['Action', 'Adventure', 'Fantasy', 'Sci-Fi']","the movie, based on marvel comics, will focus on shang-chi; 'the master of kung-fu'.",2021-09-07,released
Thor: Love And Thunder,"['Chris Hemsworth', 'Natalie Portman', 'Taika Waititi', 'Christian Bale']","['Action', 'Adventure', 'Fantasy']",the sequel to thor: ragnarok and the fourth movie in the thor saga.,2022-06-05,released
Black Panther: Wakanda Forever,['Danai Gurira'],"['Action', 'Adventure', 'Drama', 'Sci-Fi', 'Thriller']",a sequel that will continue to explore the incomparable world of wakanda and all the rich and varied characters introduced in the 2018 film.,2022-08-07,released
The Marvels,"['Brie Larson', 'Teyonah Parris', 'Iman Vellani']","['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",sequel of the 2019 title 'captain marvel'.,2022-11-11,released
Ant-Man And The Wasp: Quantumania,"['Kathryn Newton', 'Evangeline Lilly', 'Paul Rudd']","['Action', 'Adventure', 'Comedy', 'Mystery', 'Sci-Fi', 'Thriller']",the further adventures of ant-man and the wasp.,2022-12-12,released
Guardians Of The Galaxy Vol. 3,"['Chris Pratt', 'Elizabeth Debicki', 'Karen Gillan', 'Zoe Saldana']","['Action', 'Adventure', 'Comedy', 'Sci-Fi', 'Thriller']",third installment of the 'guardians of the galaxy' franchise.,2023-12-12,released
Deadpool & Wolverine,[],[],unknown,2024-07-26,released
Captain America: Brave New World,[],[],unknown,2025-02-14,upcoming
Thunderbolts,[],[],unknown,2025-07-25,upcoming
Fantastic Four,[],[],unknown,2025-11-07,upcoming
Spider-Man: Brand New Day,[],[],unknown,2026-07-31,upcoming
Avengers: Doomsday,[],[],unknown,2026-12-18,upcoming
Avengers: Secret Wars,[],[],unknown,2027-05-07,upcoming
The Incredible Hulk,"['Edward Norton', 'Liv Tyler', 'Tim Roth', 'William Hurt']","['Action', 'Adventure', 'Sci-Fi']","bruce banner, a scientist on the run from the u.s. government, must find a cure for the monster he turns into, whenever he loses his temper.",,upcoming
Captain America: The First Avenger,"['Chris Evans', 'Hugo Weaving', 'Samuel L. Jackson', 'Hayley Atwell']","['Action', 'Adventure', 'Sci-Fi']","steve rogers, a rejected military soldier transforms into captain america after taking a dose of a ""super-soldier serum"". but being captain america comes at a price as he attempts to take down a war monger and a terrorist organization.",,upcoming
Ant-Man,"['Paul Rudd', 'Michael Douglas', 'Corey Stoll', 'Evangeline Lilly']","['Action', 'Adventure', 'Comedy', 'Sci-Fi']","armed with a super-suit with the astonishing ability to shrink in scale but increase in strength, cat burglar scott lang must embrace his inner hero and help his mentor, dr. hank pym, plan and pull off a heist that will save the world.",,upcoming
Black Panther,"['Chadwick Boseman', 'Michael B. Jordan', 'Lupita Nyongo', 'Danai Gurira']","['Action', 'Adventure', 'Sci-Fi']","t'challa, heir to the hidden but advanced kingdom of wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past.",,upcoming
Avengers: Infinity War,"['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo', 'Chris Evans']","['Action', 'Adventure', 'Sci-Fi']",the avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful thanos before his blitz of devastation and ruin puts an end to the universe.,,upcoming
Avengers: Endgame,"['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo', 'Chris Hemsworth']","['Action', 'Adventure', 'Sci-Fi']","after the devastating events of avengers: infinity war (2018), the universe is in ruins. with the help of remaining allies, the avengers assemble once more in order to undo thanos' actions and restore order to the universe.",,upcoming
Untitled Spider-Man: Far From Home Sequel,"['Tom Holland', 'Zendaya', 'Benedict Cumberbatch']","['Action', 'Adventure', 'Sci-Fi']",a continuation of spider-man far from home,,upcoming
Doctor Strange In The Multiverse Of Madness,"['Rachel McAdams', 'Benedict Cumberbatch', 'Elizabeth Olsen']","['Action', 'Adventure', 'Fantasy', 'Horror', 'Sci-Fi']","after the events of avengers: endgame, dr. stephen strange continues his research on the time stone. but an old friend turned enemy seeks to destroy every sorcerer on earth, messing with strange's plan and also causing him to unleash an unspeakable evil.",,upcoming
